#f [Hertz] U_BR [Volt]
20      0.24
100     0.22             
200     0.15                 
300     0.09             
400     0.05            
450     0.03            
460     0.026            
470     0.024           
480     0.02          
490     0.018           
500     0.015           
510     0.012          
520     0.008         
530     0.003         
540     0.001          
550     0.003         
560     0.0032          
570     0.008          
580     0.0115           
590     0.0135           
600     0.016           
610     0.02         
620     0.022           
630     0.024         
700     0.04         
800     0.06          
900     0.08           
1000    0.09              
1200    0.12             
1500    0.15             
2000    0.18             
3000    0.2              
5000    0.22             
10000   0.21              
20000   0.18             
